WAMP,Brand,Product,Wholesaler,Package,UPC,Parent Chain,Retail $,2 for $,Market
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Refuel Market,2.09,3,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,GPM Southeast,2.09,3.5,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,7-Eleven,1.79,3,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Spinx,1.99,3.5,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Parkers,2.29,3,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Enmark,1.99,,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Buck Magement (Blue Water),1.99,3.5,1 · Charleston
Value,Busch Light,Busch Light 1/16C x6,Southern Crown Partners,1/16C,18200004261,Circle K,1.99,3.5,1 · Charleston
Value,Busch Light,Busch Light 1/16C x6,Southern Crown Partners,1/16C,18200004261,Refuel Market,1.89,3,1 · Charleston
Value,Busch Light,Busch Light 1/16C x6,Southern Crown Partners,1/16C,18200004261,GPM Southeast,1.89,3,1 · Charleston
Value,Busch Light,Busch Light 1/16C x6,Southern Crown Partners,1/16C,18200004261,7-Eleven,1.79,3,1 · Charleston
Value,Busch Light,Busch Light 1/16C x6,Southern Crown Partners,1/16C,18200004261,Spinx,1.89,3.5,1 · Charleston
Value,Busch Light,Busch Light 1/16C x6,Southern Crown Partners,1/16C,18200004261,Enmark,1.99,,1 · Charleston
Value,Busch Light,Busch Light 1/16C x6,Southern Crown Partners,1/16C,18200004261,Buck Magement (Blue Water),1.99,,1 · Charleston
Value,Miller Ice House,Icehouse 1/16C x6,Henry J. Lee Reyes,1/16C,34100008826,Circle K,1.99,3.5,1 · Charleston
Value,Miller Ice House,Icehouse 1/16C x6,Henry J. Lee Reyes,1/16C,34100008826,Refuel Market,1.89,3.5,1 · Charleston
Value,Miller Ice House,Icehouse 1/16C x6,Henry J. Lee Reyes,1/16C,34100008826,GPM Southeast,1.89,3,1 · Charleston
Value,Miller Ice House,Icehouse 1/16C x6,Henry J. Lee Reyes,1/16C,34100008826,7-Eleven,1.79,3,1 · Charleston
Value,Miller Ice House,Icehouse 1/16C x6,Henry J. Lee Reyes,1/16C,34100008826,Spinx,1.89,3.5,1 · Charleston
Value,Miller Ice House,Icehouse 1/16C x6,Henry J. Lee Reyes,1/16C,34100008826,Enmark,1.99,,1 · Charleston
Value,Miller Ice House,Icehouse 1/16C x6,Henry J. Lee Reyes,1/16C,34100008826,Buck Magement (Blue Water),2.09,,1 · Charleston
Value,Miller High Life,Miller High Life 1/16C x6,Henry J. Lee Reyes,1/16C,34100000073,Circle K,1.79,3.5,1 · Charleston
Value,Miller High Life,Miller High Life 1/16C x6,Henry J. Lee Reyes,1/16C,34100000073,Refuel Market,1.89,3.5,1 · Charleston
Value,Miller High Life,Miller High Life 1/16C x6,Henry J. Lee Reyes,1/16C,34100000073,GPM Southeast,1.89,3,1 · Charleston
Value,Miller High Life,Miller High Life 1/16C x6,Henry J. Lee Reyes,1/16C,34100000073,7-Eleven,1.79,3,1 · Charleston
Value,Miller High Life,Miller High Life 1/16C x6,Henry J. Lee Reyes,1/16C,34100000073,Spinx,1.89,3.5,1 · Charleston
Value,Miller High Life,Miller High Life 1/16C x6,Henry J. Lee Reyes,1/16C,34100000073,Enmark,1.49,,1 · Charleston
Value,Miller High Life,Miller High Life 1/16C x6,Henry J. Lee Reyes,1/16C,34100000073,Buck Magement (Blue Water),2.09,,1 · Charleston
Value,Natural,Natural Light 1/16C x6,Southern Crown Partners,1/16C,18200000430,Circle K,1.99,3.5,1 · Charleston
Value,Natural,Natural Light 1/16C x6,Southern Crown Partners,1/16C,18200000430,Refuel Market,1.89,3,1 · Charleston
Value,Natural,Natural Light 1/16C x6,Southern Crown Partners,1/16C,18200000430,GPM Southeast,1.89,3,1 · Charleston
Value,Natural,Natural Light 1/16C x6,Southern Crown Partners,1/16C,18200000430,7-Eleven,1.79,3,1 · Charleston
